DATE,BICYCLE,BIKESHARING,BY_FOOT,CAR,CARSHARING,MOTORBIKE,PUBLIC_TRANSPORT
2020-10-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-11-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-12-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2021-01-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-02-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-03-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-04-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-05-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-06-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-07-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-08-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-09-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-10-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-11-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-12-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2022-01-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-02-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-03-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-04-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-05-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-06-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-07-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-08-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-09-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-10-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-11-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2022-12-01,0.09,0.0,0.35,0.25,0.0,0.01,0.3
2023-01-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-02-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-03-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-04-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-05-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-06-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-07-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-08-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-09-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-10-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-11-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2023-12-01,0.09195845679514993,0.0,0.3510290499490463,0.24860799230245462,0.0008144562379228201,0.005396313009223682,0.3021937317062026
2024-01-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-02-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-03-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-04-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-05-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-06-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-07-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-08-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-09-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-10-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-11-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2024-12-01,0.09174067739879983,0.0,0.35267554085930947,0.2460429976802569,0.0004778868359643275,0.004913809776513269,0.3041490874491561
2025-01-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-02-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-03-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-04-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-05-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-06-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-07-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-08-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-09-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-10-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-11-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2025-12-01,0.09273721289532155,0.0,0.35379651900147524,0.2427404538457219,0.0006226152360340524,0.004874672289938089,0.3052285267315092
2026-01-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-02-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-03-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-04-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-05-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-06-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-07-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-08-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-09-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-10-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-11-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2026-12-01,0.09262922042751498,0.0,0.3554834514835276,0.23972126349530354,0.0005657018573205387,0.004892106119425261,0.30670825661690815
2027-01-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-02-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-03-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-04-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-05-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-06-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-07-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-08-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-09-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-10-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-11-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2027-12-01,0.09343763977472377,0.0,0.35680339867768684,0.2364040392591551,0.0005928961040200582,0.004909676559494857,0.3078523496249193
2028-01-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-02-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-03-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-04-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-05-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-06-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-07-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-08-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-09-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-10-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-11-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2028-12-01,0.09348537195526394,0.0,0.35845310707186917,0.23326720659621927,0.0005851314436035058,0.004932320621602417,0.30927686231144175
2029-01-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-02-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-03-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-04-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-05-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-06-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-07-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-08-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-09-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-10-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-11-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2029-12-01,0.09417155046692746,0.0,0.3598592724888364,0.22993532557413088,0.0005918262630114571,0.004951665246728955,0.3104903599603647
2030-01-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-02-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-03-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-04-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-05-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-06-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-07-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-08-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-09-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-10-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-11-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
2030-12-01,0.09433312227012193,0.0,0.3614906185238384,0.22671152487322416,0.0005926666531816042,0.004974112525758583,0.31189795515387553
